drugname
Acetaminophen
Alpha
Alprazolam
Amphetamine
Aspirin
Azithromycin
Barbital
Caffeine
Cocaine
Cocainehcl
Codeine
Diphenhydramine
Famotidine
Fentanyl
Epsomsalt
Gammahyroxybutalate
Heroin
Ibuprofen
Ketamine
Lidocaine
Loratadine
Mdma
Meloxicam
Metformin
Methamphetamine
Methylsulfonylmethane
Milk
Naproxen
Oxycodone
Pentobarbital
Phenacetin
Pseudoephedrinehcl
Sodiumbicarbonate
Starch
Sugar
Thiobarbituric
Xylazine
