drugname
Acetaminophen
Amphetamine
Barbital
Cocaine
Cocainehcl
Codeine
Diphenhydramine
Fentanyl
Gammahyroxybutalate
Ibuprofen
Lidocaine
Loratadine
Mdma
Meloxicam
Methamphetamine
Morphine
Naproxen
Oxycodone
Pentobarbital
Phenacetin
Starch
Sugar
Thiobarbituric
Xanax
Xylazine
